"","Province","Commune","Annee","Pop"
"1","Province Nord","Belep",1956,529
"2","Province Nord","Belep",1963,573
"3","Province Nord","Belep",1969,551
"4","Province Nord","Belep",1976,624
"5","Province Nord","Belep",1983,686
"6","Province Nord","Belep",1989,745
"7","Province Nord","Belep",1996,923
"8","Province Nord","Belep",2004,930
"9","Province Nord","Belep",2009,895
"10","Province Nord","Belep",2014,843
"11","Province Nord","Belep",2019,867
"12","Province Sud","Boulouparis",1956,483
"13","Province Sud","Boulouparis",1963,635
"14","Province Sud","Boulouparis",1969,846
"15","Province Sud","Boulouparis",1976,925
"16","Province Sud","Boulouparis",1983,1139
"17","Province Sud","Boulouparis",1989,1456
"18","Province Sud","Boulouparis",1996,1591
"19","Province Sud","Boulouparis",2004,2089
"20","Province Sud","Boulouparis",2009,2418
"21","Province Sud","Boulouparis",2014,3005
"22","Province Sud","Boulouparis",2019,3315
"23","Province Sud","Bourail",1956,2212
"24","Province Sud","Bourail",1963,2312
"25","Province Sud","Bourail",1969,2433
"26","Province Sud","Bourail",1976,3149
"27","Province Sud","Bourail",1983,3410
"28","Province Sud","Bourail",1989,4122
"29","Province Sud","Bourail",1996,4364
"30","Province Sud","Bourail",2004,4779
"31","Province Sud","Bourail",2009,4999
"32","Province Sud","Bourail",2014,5444
"33","Province Sud","Bourail",2019,5531
"34","Province Nord","Canala",1956,2816
"35","Province Nord","Canala",1963,3097
"36","Province Nord","Canala",1969,3559
"37","Province Nord","Canala",1976,3884
"38","Province Nord","Canala",1983,3842
"39","Province Nord","Canala",1989,2907
"40","Province Nord","Canala",1996,3374
"41","Province Nord","Canala",2004,3512
"42","Province Nord","Canala",2009,3341
"43","Province Nord","Canala",2014,3687
"44","Province Nord","Canala",2019,3701
"45","Province Sud","Dumbea",1956,284
"46","Province Sud","Dumbea",1963,463
"47","Province Sud","Dumbea",1969,1304
"48","Province Sud","Dumbea",1976,4191
"49","Province Sud","Dumbea",1983,5538
"50","Province Sud","Dumbea",1989,10052
"51","Province Sud","Dumbea",1996,13888
"52","Province Sud","Dumbea",2004,18602
"53","Province Sud","Dumbea",2009,24103
"54","Province Sud","Dumbea",2014,31812
"55","Province Sud","Dumbea",2019,35873
"56","Province Sud","Farino",1956,142
"57","Province Sud","Farino",1963,172
"58","Province Sud","Farino",1969,161
"59","Province Sud","Farino",1976,194
"60","Province Sud","Farino",1983,253
"61","Province Sud","Farino",1989,237
"62","Province Sud","Farino",1996,279
"63","Province Sud","Farino",2004,459
"64","Province Sud","Farino",2009,598
"65","Province Sud","Farino",2014,612
"66","Province Sud","Farino",2019,712
"67","Province Nord","Hienghene",1956,1940
"68","Province Nord","Hienghene",1963,2109
"69","Province Nord","Hienghene",1969,1846
